Rule,Text,Topic
4370,"The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must address: Alternate communications between the member and its employees; Alternate physical location of employees; Critical business constituent, bank, and counter-party impact; and Regulatory reporting. If a member relies on another entity, the member's business continuity plan must address this relationship.",Business Continuity Planning
4370,"The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must address: Communications with regulators; and How the member will assure customers' prompt access to their funds and securities in the event that the member determines that it is unable to continue its business. If a member relies on another entity, the member's business continuity plan must address this relationship.",Business Continuity Planning
4370,Members must designate a member of senior management to approve the plan and he or she shall be responsible for conducting the required annual review. The member of senior management must also be a registered principal.,Business Continuity Planning
4370,"Each member must disclose to its customers how its business continuity plan addresses the possibility of a future significant business disruption and how the member plans to respond to events of varying scope. At a minimum, such disclosure must be made in writing to customers at account opening, posted on the member's Web site (if the member maintains a Web site), and mailed to customers upon request.",Business Continuity Planning
4370,"At least one emergency contact person shall be a member of senior management and a registered principal of the member. If a member designates a second emergency contact person who is not a registered principal, such person shall be a member of senior management who has knowledge of the member's business operations.",Business Continuity Planning
4370,"A member with only one associated person shall designate as a second emergency contact person an individual, either registered with another firm or nonregistered, who has knowledge of the member's business operations (e.g., the member's attorney, accountant, or clearing firm contact).",Business Continuity Planning
4370,"For purposes of this Rule, ""Mission critical system"" means any system that is necessary, depending on the nature of a member's business, to ensure prompt and accurate processing of securities transactions, including, but not limited to, order taking, order entry, execution, comparison, allocation, clearance and settlement of securities transactions, the maintenance of customer accounts, access to customer accounts and the delivery of funds and securities.",Business Continuity Planning
4370,"For purposes of this Rule, ""Financial and operational assessment"" means a set of written procedures that allow a member to identify changes in its operational, financial, and credit risk exposures.",Business Continuity Planning
4110,"When necessary for the protection of investors or in the public interest, FINRA may, at any time or from time to time with respect to a particular carrying or clearing member or all carrying or clearing members, pursuant to authority exercised by FINRA's Executive Vice President charged with oversight for financial responsibility, or his or her written officer delegate, prescribe greater net capital or net worth requirements than those otherwise applicable.",Subordination Agreements
4110,"Including more stringent treatment of items in computing net capital or net worth, or require such member to restore or increase its net capital or net worth. In any such instance, FINRA shall issue a notice pursuant to Rule 9557.",Subordination Agreements
4110,"Unless otherwise permitted by FINRA, a member shall suspend all business operations during any period in which it is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1.FINRA may issue a notice pursuant to Rule 9557 directing a member that is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1 to suspend all or a portion of its business.",Subordination Agreements
4110,"A carrying or clearing member shall not, without the prior written approval of FINRA, withdraw capital, pay a dividend or effect a similar distribution that would reduce such member's equity, or make any unsecured advance or loan to a stockholder, partner, sole proprietor, employee or affiliate, where such withdrawals, payments, reductions, advances or loans in the aggregate, in any 35 rolling calendar day period, on a net basis, exceeds 10% of its excess net capital",Subordination Agreements
4110,"No carrying or clearing member shall consummate a sale-and-leaseback arrangement with respect to any of its assets, or a sale, factoring, or financing arrangement with respect to any unsecured accounts receivable, where any such arrangement would increase the member's tentative net capital by 10% or more, without the prior written authorization of FINRA.",Subordination Agreements
4110,"No carrying member shall consummate any arrangement concerning the sale or factoring of customer debit balances, irrespective of amount, without the prior written authorization of FINRA. Members shall not consummate any arrangement pursuant to this paragraph if the aggregate of all such arrangements outstanding would exceed 20% of such member's tentative net capital, without the prior written authorization of FINRA.",Subordination Agreements
4110,"Any loan agreement entered into by a carrying or clearing member, the proceeds of which exceed 10% of such member's tentative net capital and which is intended to reduce the deduction in computing net capital for fixed assets and other assets which cannot be readily converted into cash under SEA Rule 15c3-1(c)(2)(iv), must be submitted to and be acceptable to FINRA, prior to such reduction becoming effective.",Subordination Agreements
4110,"Any agreement relating to a determination of a ""ready market"" for securities based upon the securities being accepted as collateral for a loan by a bank under SEA Rule 15c3-1(c)(11)(ii), must be submitted to and be acceptable to FINRA before the securities may be deemed to have a ""ready market.""",Subordination Agreements
4110,"All subordinated loans or notes collateralized by securities shall meet such standards as FINRA may require to ensure the continued financial stability and operational capability of the member, in addition to those specified in Appendix D of SEA Rule 15c3-1.",Subordination Agreements
4110,"Unless otherwise permitted by FINRA, each member partnership whose general partner enters into any secured or unsecured borrowing, the proceeds of which will be contributed to the capital of the member, shall submit a signed copy of the loan agreement which must have at least a 12 month duration; and provide non-recourse to the assets of the member, for approval in order for such proceeds to qualify as capital acceptable for inclusion in the computation of the net capital of the member.",Subordination Agreements
8210,"For the purpose of an investigation, complaint, examination, or proceeding authorized by the FINRA By-Laws or rules, an Adjudicator or FINRA staff shall have the right to require a member, person associated with a member, or any other person subject to FINRA's jurisdiction to provide information orally, in writing, or electronically (if the requested information is, or is required to be, maintained in electronic form).",Electronic Blue Sheets
8210,"For the purpose of an investigation, complaint, examination, or proceeding authorized by the FINRA By-Laws or rules, an Adjudicator or FINRA staff shall have the right to require a member, person associated with a member, or any other person subject to FINRA's jurisdiction to testify at a location specified by FINRA staff, under oath or affirmation administered by a court reporter or a notary public if requested.",Electronic Blue Sheets
8210,"For the purpose of an investigation, complaint, examination, or proceeding authorized by the FINRA By-Laws or rules, an Adjudicator or FINRA staff shall have the right to inspect and copy the books, records, and accounts of such member or person with respect to any matter involved in the investigation, complaint, examination, or proceeding that is in such member's or person's possession, custody or control.",Electronic Blue Sheets
8210,"FINRA staff may enter into an agreement with a domestic federal agency, or subdivision thereof, or foreign regulator to share any information in FINRA's possession for any regulatory purpose set forth in such agreement, provided that the agreement must require the other regulator, in accordance with the terms of the agreement, to treat any shared information confidentially and to assert such confidentiality and other applicable privileges in response to any requests for such information from third parties",Electronic Blue Sheets
8210,Any such agreement with a foreign regulator must also meet the conditions that the other regulator party to the agreement must have jurisdiction over common regulatory matters and the agreement must require the other regulator to reciprocate and share with FINRA information of regulatory interest or concern to FINRA,Electronic Blue Sheets
8210,"FINRA staff may exercise the authority for the purpose of an investigation, complaint, examination, or proceeding conducted by another domestic or foreign self-regulatory organization, association, securities or contract market, or regulator of such markets with which FINRA has entered into an agreement providing for the exchange of information and other forms of material assistance solely for market surveillance, investigative, enforcement, or other regulatory purposes.",Electronic Blue Sheets
8210,"No member or person shall fail to provide information or testimony or to permit an inspection and copying of books, records, or accounts pursuant to this Rule.",Electronic Blue Sheets
8210,A notice under this Rule shall be deemed received by the member or currently or formerly registered person to whom it is directed by mailing or otherwise transmitting the notice to the last known business address of the member or the last known residential address of the person as reflected in the Central Registration Depository.,Electronic Blue Sheets
8210,"With respect to a person who is currently associated with a member in an unregistered capacity, a notice under this Rule shall be deemed received by the person by mailing or otherwise transmitting the notice to the last known business address of the member as reflected in the Central Registration Depository",Electronic Blue Sheets
8210,"With respect to a person subject to FINRA's jurisdiction who was formerly associated with a member in an unregistered capacity, a notice under this Rule shall be deemed received by the person upon personal service, as set forth in Rule 9134(a)(1).",Electronic Blue Sheets
8210,"If the Adjudicator or FINRA staff responsible for mailing or otherwise transmitting the notice to the member or person has actual knowledge that the address in the Central Registration Depository is out of date or inaccurate, then a copy of the notice shall be mailed or otherwise transmitted to the last known business address of the member or the last known residential address of the person as reflected in the Central Registration Depositor.",Electronic Blue Sheets
8210,"If the Adjudicator or FINRA staff responsible for mailing or otherwise transmitting the notice to the member or person has actual knowledge that the address in the Central Registration Depository is out of date or inaccurate, then a copy of the notice shall be mailed or otherwise transmitted to any other more current address of the member or the person known to the Adjudicator or FINRA staff who is responsible for mailing or otherwise transmitting the notice.",Electronic Blue Sheets
8210,"If the Adjudicator or FINRA staff responsible for mailing or otherwise transmitting the notice to the member or person knows that the member or person is represented by counsel regarding the investigation, complaint, examination, or proceeding that is the subject of the notice, then the notice shall be served upon counsel by mailing or otherwise transmitting the notice to the counsel in lieu of the member or person, and any notice served upon counsel shall be deemed received by the member or person.",Electronic Blue Sheets
8210,"In carrying out its responsibilities under this Rule, FINRA may, as appropriate, establish programs for the submission of information to FINRA on a regular basis through a direct or indirect electronic interface between FINRA and members.",Electronic Blue Sheets
8210,"A witness, upon proper identification, may inspect the official transcript of the witness' own testimony. Upon written request, a person who has submitted documentary evidence or testimony in a FINRA investigation may procure a copy of the person's documentary evidence or the transcript of the person's testimony upon payment of the appropriate fees, except that prior to the issuance of a complaint arising from the investigation, FINRA staff may for good cause deny such request.",Electronic Blue Sheets
8210,"Any member or person who, in response to a request pursuant to this Rule, provides the requested information on a portable media device must ensure that such information is encrypted. For purposes of this Rule, a ""portable media device"" is a storage device for electronic information, including but not limited to a flash drive, CD-ROM, DVD, portable hard drive, laptop computer, disc, diskette, or any other portable device for storing and transporting electronic information.",Electronic Blue Sheets
8210,"For purposes of this Rule, ""encrypted"" means the transformation of data into a form in which meaning cannot be assigned without the use of a confidential process or key. To ensure that encrypted information is secure, a member or person providing encrypted information to FINRA staff pursuant to this Rule shall use an encryption method that meets industry standards for strong encryption, and provide the confidential process or key regarding the encryption to FINRA staff in a communication separate from the encrypted information itself.",Electronic Blue Sheets
8211,"A member shall submit the trade data specified below in automated format as may be prescribed by FINRA from time to time. This information shall be supplied with respect to any transaction or transactions that are the subject of a request for information made by FINRA. In addition to the trade data, A member shall submit such other information in such automated format as may from time to time be required by FINRA.",Electronic Blue Sheets
8211,"If the transaction was a proprietary transaction effected or caused to be effected by the member for any account in which such member, or person associated with a member, is directly or indirectly interested, such member shall submit or cause to be submitted the Clearing house number, or alpha symbol as used by the member submitting the data",Electronic Blue Sheets
8211,"If the transaction was a proprietary transaction effected or caused to be effected by the member for any account in which such member, or person associated with a member, is directly or indirectly interested, such member shall submit or cause to be submitted the Clearing house number(s), or alpha symbol(s) as may be used from time to time, of the members(s) on the opposite side of the transaction Identifying symbol assigned to the security.",Electronic Blue Sheets
8211,"If the transaction was a proprietary transaction effected or caused to be effected by the member for any account in which such member, or person associated with a member, is directly or indirectly interested, such member shall submit or cause to be submitted the Identifying symbol assigned to the security and Date transaction was executed.",Electronic Blue Sheets
8211,"If the transaction was a proprietary transaction effected or caused to be effected by the member for any account in which such member, or person associated with a member, is directly or indirectly interested, such member shall submit or cause to be submitted the Number of shares, or quantity of bonds or options contracts for each specific transaction and whether each transaction was a purchase, sale, short sale, or, if an options contract, whether open long or short or close long or short.",Electronic Blue Sheets
8211,"If the transaction was a proprietary transaction effected or caused to be effected by the member for any account in which such member, or person associated with a member, is directly or indirectly interested, such member shall submit or cause to be submitted the Transaction price; Account number; and Market center where transaction was executed.",Electronic Blue Sheets
8211,"If the transaction was effected or caused to be effected by the member for any customer account, such member shall submit or cause to be submitted the customer name, address(es), branch office number, registered representative number, whether order was solicited or unsolicited, date account opened, employer name, and the tax identification number(s); and If the transaction was effected for another member, whether the other member was acting as principal or agent.",Electronic Blue Sheets
8213,Each member shall submit trade data specified in Rule 8211 in automated format as may be prescribed by FINRA from time to time with respect to any transaction or transactions involving non-exchange-listed securities as defined in the Rule 6400 Series that are the subject of a request for information made by FINRA.,Electronic Blue Sheets
4512,"Each member shall maintain for each account: customer's name and residence; whether customer is of legal age; name(s) of the associated person(s), if any, responsible for the account, and if multiple individuals are assigned responsibility for the account, a record indicating the scope of their responsibilities with respect to the account, provided, however, that this requirement shall not apply to an institutional account.",Senior Investors
4512,"Each member shall maintain for each account: signature of the partner, officer or manager denoting that the account has been accepted in accordance with the member's policies and procedures for acceptance of accounts; if the customer is a corporation, partnership or other legal entity, the names of any persons authorized to transact business on behalf of the entity.",Senior Investors
4512,"Each member shall maintain for each account other than an institutional account, and accounts in which investments are limited to transactions in open-end investment company shares that are not recommended by the member or its associated persons, each member shall also make reasonable efforts to obtain, prior to the settlement of the initial transaction in the account, the customer's tax identification or Social Security number.",Senior Investors
4512,"Each member shall maintain for each account other than an institutional account, and accounts in which investments are limited to transactions in open-end investment company shares that are not recommended by the member or its associated persons, each member shall also make reasonable efforts to obtain, prior to the settlement of the initial transaction in the account, the occupation of customer and name and address of employer and whether customer is an associated person of another member.",Senior Investors
4512,"The member shall maintain a record of the dated, signature of each named, associated person of the member authorized to exercise discretion in the account. This recordkeeping requirement shall not apply to investment discretion granted by a customer as to the price at which or the time to execute an order given by a customer for the purchase or sale of a definite dollar amount or quantity of a specified security.",Senior Investors
4512,Nothing in this Rule shall be construed as allowing members to maintain discretionary accounts or exercise discretion in such accounts except to the extent permitted under the federal securities laws.,Senior Investors
4512,A member need not meet the requirements of this Rule with respect to any account that was opened pursuant to a prior FINRA rule until such time as the member updates the information for the account either in the course of the member's routine and customary business or as otherwise required by applicable laws or rules.,Senior Investors
4512,"For purposes of this Rule, the term ""institutional account"" shall mean the account of a bank, savings and loan association, insurance company or registered investment company; an investment adviser registered either with the SEC under Section 203 of the Investment Advisers Act or with a state securities commission (or any agency or office performing like functions); or any other person (whether a natural person, corporation, partnership, trust or otherwise) with total assets of at least $50 million.",Senior Investors
3241,"A registered person shall decline being named a beneficiary of a customer’s estate or receiving a bequest from a customer’s estate upon learning of such status unless, the customer is a member of the registered person's immediate family",Senior Investors
3241,"The registered person provides written notice describing the proposed status to the member with which the registered person is associated, in form specified by the member, and receives written approval from that member of status prior to being named a beneficiary of a customer’s estate or receiving a bequest from a customer’s estate. If the member disapproves the registered person shall not assume such status or shall comply with such conditions or limitations.",Senior Investors
3241,A registered person shall decline being named as an executor or trustee or holding a power of attorney or similar position for or on behalf of a customer upon learning of such status unless the customer is a member of the registered person's immediate family,Senior Investors
3241,"The registered person provides written notice describing the position and the proposed role to the member with which the registered person is associated, in form as specified by the member, and receives written approval from that member of such status prior to or receiving any fees, assets or other benefit ; and does not derive financial gain other than fees or charges that are reasonable and customary; and If the member disapproves the registered person shall comply with such conditions or limitations.",Senior Investors
3241,"Upon written notice receipt, shall perform reasonable assessment of the risks created by the registered person’s assuming such status including, but not limited to, an evaluation of whether it will interfere with or otherwise compromise the registered person’s responsibilities to the customer and make a reasonable determination of whether to approve the registered person’s assuming such status or acting in such capacity, to approve it subject to specific conditions or limitations, or to disapprove it.",Senior Investors
3241,"Upon completion of the member’s assessment, a member shall advise the registered person in writing whether the member approves the person’s assuming such status or acting in such capacity and imposes any conditions or limitations on the person’s holding the position; or disapproves the person’s assuming such status or acting in such capacity.",Senior Investors
3241,"If the member imposes conditions or limitations on its approval of the person’s assuming such status or acting in such capacity, the member shall reasonably supervise the registered person’s compliance with such conditions or limitations.",Senior Investors
3241,"The term “immediate family” means parents, grandparents, mother-in-law or father-in-law, spouse or domestic partner, brother or sister, brother-in-law or sister-in-law, son-in law or daughter-in-law, children, grandchildren, cousin, aunt or uncle, or niece or nephew, and any other person who resides in the same household as the registered person and the registered person financially supports, directly or indirectly, to a material extent. The term includes step and adoptive relationships.",Senior Investors
2165,"For purposes of this Rule, the term “Specified Adult” shall mean: a natural person age 65 and older; or a natural person age 18 and older who the member reasonably believes has a mental or physical impairment that renders the individual unable to protect his or her own interests. For purposes of this Rule, the term “Account” shall mean any account of a member for which a Specified Adult has the authority to transact business.",Senior Investors
2165,"For purposes of this Rule, the term “Trusted Contact Person” shall mean the person who may be contacted about the Specified Adult's Account in accordance with Rule 4512.",Senior Investors
2165,"The term “financial exploitation” means: the wrongful or unauthorized taking, withholding, appropriation, or use of a Specified Adult's funds or securities; or any act or omission by a person, including through the use of a power of attorney, guardianship, or any other authority regarding a Specified Adult, to obtain control, through deception, intimidation or undue influence, over the Specified Adult's money, assets or property; or convert the Specified Adult's money, assets or property.",Senior Investors
2165,"A member may place a temporary hold on a disbursement of funds or securities from the Account of a Specified Adult or a transaction in securities in the Account of a Specified Adult if, the member reasonably believes that financial exploitation of the Specified Adult has occurred, is occurring, has been attempted, or will be attempted.",Senior Investors
2165,"The member, not later than two business days after the date that the member first placed the temporary hold on the disbursement of funds or securities or the transaction in securities, provides notification orally or in writing, which may be electronic, and the reason to all parties authorized to transact business on the Account, unless a party is unavailable or the member reasonably believes that the party has engaged, is engaged, or will engage in the financial exploitation of the Specified Adult.",Senior Investors
2165,"The member, not later than two business days after the date that the member first placed the temporary hold on the disbursement of funds or securities or the transaction in securities, provides notification orally or in writing, which may be electronic, and the reason to Trusted Contact Person(s), unless the Trusted Contact Person is unavailable or the member reasonably believes that the Trusted Contact Person(s) has engaged, is engaged, or will engage in the financial exploitation of the Specified Adult.",Senior Investors
2165,"The member immediately initiates an internal review of the facts and circumstances that caused the member to reasonably believe that the financial exploitation of the Specified Adult has occurred, is occurring, has been attempted, or will be attempted.",Senior Investors
2165,"In addition to the general supervisory and recordkeeping requirements of Rules 3110, 3120, 3130, 3150, and Rule 4510 Series, a member relying on this Rule shall establish and maintain written supervisory procedures reasonably designed to achieve compliance with this Rule, including, but not limited to, procedures related to the identification, escalation and reporting of matters related to the financial exploitation of Specified Adults.",Senior Investors
2165,"A member's written supervisory procedures also shall identify the title of each person authorized to place, terminate or extend a temporary hold on behalf of the member pursuant to this Rule. Any such person shall be an associated person of the member who serves in a supervisory, compliance or legal capacity for the member.",Senior Investors
2165,"Members shall retain records related to compliance with this Rule, which shall be readily available to FINRA, upon request. The retained records shall include records of request(s) for disbursement or transaction that may constitute financial exploitation of a Specified Adult and the resulting temporary hold.",Senior Investors
2165,"Members shall retain records related to compliance with this Rule, which shall be readily available to FINRA, upon request. The retained records shall include records of the finding of a reasonable belief that financial exploitation has occurred, is occurring, has been attempted, or will be attempted underlying the decision to place a temporary hold on a disbursement or transaction.",Senior Investors
2165,"Members shall retain records related to compliance with this Rule, which shall be readily available to FINRA, upon request. The retained records shall include records of the name and title of the associated person that authorized the temporary hold on a disbursement or transaction.",Senior Investors
2165,"Members shall retain records related to compliance with this Rule, which shall be readily available to FINRA, upon request. The retained records shall include records of the reason and support for any extension of a temporary hold, including information regarding any communications with or by a state regulator or agency of competent jurisdiction or a court of competent jurisdiction.",Senior Investors
