Rule,Text,Topic
331,"(f) Include appropriate risk-based procedures for conducting ongoing customer due diligence, to include, but not be limited to:
(i) Understanding the nature and purpose of customer relationships for the purpose of developing a customer risk profile; and
(ii) Conducting ongoing monitoring to identify and report suspicious transactions and, on a risk basis, to maintain and update customer information. For purposes of paragraph (f)(ii), customer information shall include information regarding the beneficial owners of legal entity customers (as defined in 31 CFR 1010.230(e)).",Anti-Money Laundering
2273,"(a) Educational Communication Delivery Requirement
A member that hires or associates with a registered person shall provide to a former customer of the registered person, individually, in paper or electronic form, an educational communication prepared by FINRA when (1) the member, directly or through that registered person, individually contacts the former customer of that registered person to transfer assets or (2) the former customer of that registered person, absent individualized contact, transfers assets to an account assigned, or to be assigned, to the registered person at the member.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,"(b) Means and Timing of Delivery
(1) A member shall deliver the communication in paragraph (a) at the time of first individualized contact with a former customer by the registered person or the member regarding the former customer transferring assets to the member.
(A) If the contact is in writing, the written communication required in paragraph (a) must accompany the written communication. If the contact is by electronic communication, the member may hyperlink directly to the educational communication.
(B) If the contact is oral, the member or registered person must notify the former customer orally that an educational communication that includes important considerations in deciding whether to transfer assets to the member will be provided not later than three business days after the contact. The educational communication must be sent within three business days from such oral contact or with any other documentation sent to the former customer related to transferring assets to the member, whichever is earlier.
(2) If a former customer attempts to transfer assets to an account assigned, or to be assigned, to the registered person at the member, but no individualized contact with the former customer by the registered person or member occurs before the former customer seeks to transfer assets, the member shall deliver the educational communication in paragraph (a) to the former customer with the account transfer approval documentation.
(3) The delivery of the communication required by paragraph (a) shall apply for a period of three months following the date the registered person begins employment or associates with the member.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
4370,"(a) Each member must create and maintain a written business continuity plan identifying procedures relating to an emergency or significant business disruption. Such procedures must be reasonably designed to enable the member to meet its existing obligations to customers. In addition, such procedures must address the member's existing relationships with other broker-dealers and counter-parties. The business continuity plan must be made available promptly upon request to FINRA staff.",Business Continuity Planning
4370,"(b) Each member must update its plan in the event of any material change to the member's operations, structure, business or location. Each member must also conduct an annual review of its business continuity plan to determine whether any modifications are necessary in light of changes to the member's operations, structure, business, or location.",Business Continuity Planning
4370,"(c) The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must at a minimum, address:
(1) Data back-up and recovery (hard copy and electronic);
(2) All mission critical systems;
(3) Financial and operational assessments;
(4) Alternate communications between customers and the member;
(5) Alternate communications between the member and its employees;
(6) Alternate physical location of employees;
(7) Critical business constituent, bank, and counter-party impact;
(8) Regulatory reporting;
(9) Communications with regulators; and
(10) How the member will assure customers' prompt access to their funds and securities in the event that the member determines that it is unable to continue its business.
Each member must address the above-listed categories to the extent applicable and necessary. If any of the above-listed categories is not applicable, the member's business continuity plan need not address the category. The member's business continuity plan, however, must document the rationale for not including such category in its plan. If a member relies on another entity for any one of the above-listed categories or any mission critical system, the member's business continuity plan must address this relationship.",Business Continuity Planning
4370,(d) Members must designate a member of senior management to approve the plan and he or she shall be responsible for conducting the required annual review. The member of senior management must also be a registered principal.,Business Continuity Planning
4370,"(e) Each member must disclose to its customers how its business continuity plan addresses the possibility of a future significant business disruption and how the member plans to respond to events of varying scope. At a minimum, such disclosure must be made in writing to customers at account opening, posted on the member's Web site (if the member maintains a Web site), and mailed to customers upon request.",Business Continuity Planning
4370,"(f)(1) Each member shall report to FINRA, via such electronic or other means as FINRA may specify, prescribed emergency contact information for the member. The emergency contact information for the member includes designation of two associated persons as emergency contact persons. At least one emergency contact person shall be a member of senior management and a registered principal of the member. If a member designates a second emergency contact person who is not a registered principal, such person shall be a member of senior management who has knowledge of the member's business operations. A member with only one associated person shall designate as a second emergency contact person an individual, either registered with another firm or nonregistered, who has knowledge of the member's business operations (e.g., the member's attorney, accountant, or clearing firm contact).
(2) Each member must promptly update its emergency contact information, via such electronic or other means as FINRA may specify, in the event of any material change. With respect to the designated emergency contact persons, each member must identify, review, and, if necessary, update such designations in the manner prescribed by Rule 4517.",Business Continuity Planning
4370,"(g) For purposes of this Rule, the following terms shall have the meanings specified below:
(1) ""Mission critical system"" means any system that is necessary, depending on the nature of a member's business, to ensure prompt and accurate processing of securities transactions, including, but not limited to, order taking, order entry, execution, comparison, allocation, clearance and settlement of securities transactions, the maintenance of customer accounts, access to customer accounts and the delivery of funds and securities.
(2) ""Financial and operational assessment"" means a set of written procedures that allow a member to identify changes in its operational, financial, and credit risk exposures.",Business Continuity Planning
4110,"(a) When necessary for the protection of investors or in the public interest, FINRA may, at any time or from time to time with respect to a particular carrying or clearing member or all carrying or clearing members, pursuant to authority exercised by FINRA's Executive Vice President charged with oversight for financial responsibility, or his or her written officer delegate, prescribe greater net capital or net worth requirements than those otherwise applicable, including more stringent treatment of items in computing net capital or net worth, or require such member to restore or increase its net capital or net worth. In any such instance, FINRA shall issue a notice pursuant to Rule 9557.",Subordination Agreements
4110,"(b)(1) Unless otherwise permitted by FINRA, a member shall suspend all business operations during any period in which it is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1.
(2) FINRA may issue a notice pursuant to Rule 9557 directing a member that is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1 to suspend all or a portion of its business.",Subordination Agreements
4110,"(c)(1) No equity capital of a member may be withdrawn for a period of one year from the date such equity capital is contributed, unless otherwise permitted by FINRA in writing. Subject to the requirements of paragraph (c)(2) of this Rule, this paragraph shall not preclude a member from withdrawing profits earned.
(2) A carrying or clearing member shall not, without the prior written approval of FINRA, withdraw capital, pay a dividend or effect a similar distribution that would reduce such member's equity, or make any unsecured advance or loan to a stockholder, partner, sole proprietor, employee or affiliate, where such withdrawals, payments, reductions, advances or loans in the aggregate, in any 35 rolling calendar day period, on a net basis, exceeds 10% of its excess net capital.",Subordination Agreements
4110,"(d) Sale-And-Leasebacks, Factoring, Financing, Loans and Similar Arrangements
(1)(A) No carrying or clearing member shall consummate a sale-and-leaseback arrangement with respect to any of its assets, or a sale, factoring, or financing arrangement with respect to any unsecured accounts receivable, where any such arrangement would increase the member's tentative net capital by 10% or more, without the prior written authorization of FINRA.
(B) No carrying member shall consummate any arrangement concerning the sale or factoring of customer debit balances, irrespective of amount, without the prior written authorization of FINRA.
(2) Any loan agreement entered into by a carrying or clearing member, the proceeds of which exceed 10% of such member's tentative net capital and which is intended to reduce the deduction in computing net capital for fixed assets and other assets which cannot be readily converted into cash under SEA Rule 15c3-1(c)(2)(iv), must be submitted to and be acceptable to FINRA, prior to such reduction becoming effective.
(3) Members subject to paragraphs (d)(1)(A), (d)(1)(B) or (d)(2), shall not consummate any arrangement pursuant to such paragraph(s) if the aggregate of all such arrangements outstanding would exceed 20% of such member's tentative net capital, without the prior written authorization of FINRA.
(4) Any agreement relating to a determination of a ""ready market"" for securities based upon the securities being accepted as collateral for a loan by a bank under SEA Rule 15c3-1(c)(11)(ii), must be submitted to and be acceptable to FINRA before the securities may be deemed to have a ""ready market.""",Subordination Agreements
4110,"(e) Subordinated Loans, Notes Collateralized by Securities and Capital Borrowings
(1) All subordinated loans or notes collateralized by securities shall meet such standards as FINRA may require to ensure the continued financial stability and operational capability of the member, in addition to those specified in Appendix D of SEA Rule 15c3-1.
(2) Unless otherwise permitted by FINRA, each member partnership whose general partner enters into any secured or unsecured borrowing, the proceeds of which will be contributed to the capital of the member, shall submit the following for approval in order for such proceeds to qualify as capital acceptable for inclusion in the computation of the net capital of the member:
A signed copy of the loan agreement which must:
(A) have at least a 12 month duration; and
(B) provide non-recourse to the assets of the member.
Additional documents may be required, the nature of which will vary, depending upon the legal status of the lender e.g. an individual, bank, estate, trust, corporation, partnership, etc.",Subordination Agreements
