Rule,Text,Topic
4370,"The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must address: Alternate communications between the member and its employees; Alternate physical location of employees; Critical business constituent, bank, and counter-party impact; and Regulatory reporting. If a member relies on another entity, the member's business continuity plan must address this relationship.",Business Continuity Planning
4370,"The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must address: Communications with regulators; and How the member will assure customers' prompt access to their funds and securities in the event that the member determines that it is unable to continue its business. If a member relies on another entity, the member's business continuity plan must address this relationship.",Business Continuity Planning
4370,Members must designate a member of senior management to approve the plan and he or she shall be responsible for conducting the required annual review. The member of senior management must also be a registered principal.,Business Continuity Planning
4370,"Each member must disclose to its customers how its business continuity plan addresses the possibility of a future significant business disruption and how the member plans to respond to events of varying scope. At a minimum, such disclosure must be made in writing to customers at account opening, posted on the member's Web site (if the member maintains a Web site), and mailed to customers upon request.",Business Continuity Planning
4370,"At least one emergency contact person shall be a member of senior management and a registered principal of the member. If a member designates a second emergency contact person who is not a registered principal, such person shall be a member of senior management who has knowledge of the member's business operations.",Business Continuity Planning
4370,"A member with only one associated person shall designate as a second emergency contact person an individual, either registered with another firm or nonregistered, who has knowledge of the member's business operations (e.g., the member's attorney, accountant, or clearing firm contact).",Business Continuity Planning
4370,"For purposes of this Rule, ""Mission critical system"" means any system that is necessary, depending on the nature of a member's business, to ensure prompt and accurate processing of securities transactions, including, but not limited to, order taking, order entry, execution, comparison, allocation, clearance and settlement of securities transactions, the maintenance of customer accounts, access to customer accounts and the delivery of funds and securities.",Business Continuity Planning
4370,"For purposes of this Rule, ""Financial and operational assessment"" means a set of written procedures that allow a member to identify changes in its operational, financial, and credit risk exposures.",Business Continuity Planning
4110,"When necessary for the protection of investors or in the public interest, FINRA may, at any time or from time to time with respect to a particular carrying or clearing member or all carrying or clearing members, pursuant to authority exercised by FINRA's Executive Vice President charged with oversight for financial responsibility, or his or her written officer delegate, prescribe greater net capital or net worth requirements than those otherwise applicable.",Subordination Agreements
4110,"Including more stringent treatment of items in computing net capital or net worth, or require such member to restore or increase its net capital or net worth. In any such instance, FINRA shall issue a notice pursuant to Rule 9557.",Subordination Agreements
4110,"Unless otherwise permitted by FINRA, a member shall suspend all business operations during any period in which it is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1.FINRA may issue a notice pursuant to Rule 9557 directing a member that is not in compliance with applicable net capital requirements set forth in SEA Rule 15c3-1 to suspend all or a portion of its business.",Subordination Agreements
4110,"A carrying or clearing member shall not, without the prior written approval of FINRA, withdraw capital, pay a dividend or effect a similar distribution that would reduce such member's equity, or make any unsecured advance or loan to a stockholder, partner, sole proprietor, employee or affiliate, where such withdrawals, payments, reductions, advances or loans in the aggregate, in any 35 rolling calendar day period, on a net basis, exceeds 10% of its excess net capital",Subordination Agreements
4110,"No carrying or clearing member shall consummate a sale-and-leaseback arrangement with respect to any of its assets, or a sale, factoring, or financing arrangement with respect to any unsecured accounts receivable, where any such arrangement would increase the member's tentative net capital by 10% or more, without the prior written authorization of FINRA.",Subordination Agreements
4110,"No carrying member shall consummate any arrangement concerning the sale or factoring of customer debit balances, irrespective of amount, without the prior written authorization of FINRA. Members shall not consummate any arrangement pursuant to this paragraph if the aggregate of all such arrangements outstanding would exceed 20% of such member's tentative net capital, without the prior written authorization of FINRA.",Subordination Agreements
4110,"Any loan agreement entered into by a carrying or clearing member, the proceeds of which exceed 10% of such member's tentative net capital and which is intended to reduce the deduction in computing net capital for fixed assets and other assets which cannot be readily converted into cash under SEA Rule 15c3-1(c)(2)(iv), must be submitted to and be acceptable to FINRA, prior to such reduction becoming effective.",Subordination Agreements
4110,"Any agreement relating to a determination of a ""ready market"" for securities based upon the securities being accepted as collateral for a loan by a bank under SEA Rule 15c3-1(c)(11)(ii), must be submitted to and be acceptable to FINRA before the securities may be deemed to have a ""ready market.""",Subordination Agreements
4110,"All subordinated loans or notes collateralized by securities shall meet such standards as FINRA may require to ensure the continued financial stability and operational capability of the member, in addition to those specified in Appendix D of SEA Rule 15c3-1.",Subordination Agreements
4110,"Unless otherwise permitted by FINRA, each member partnership whose general partner enters into any secured or unsecured borrowing, the proceeds of which will be contributed to the capital of the member, shall submit a signed copy of the loan agreement which must have at least a 12 month duration; and provide non-recourse to the assets of the member, for approval in order for such proceeds to qualify as capital acceptable for inclusion in the computation of the net capital of the member.",Subordination Agreements
